model_epoch_best model testing on...
testset,accuracy,avg precision
progan,0.4985,0.5039515540218082
stylegan,0.5040060090135203,0.5412781220727017
biggan,0.506,0.5404290215879481
cyclegan,0.46896290688872067,0.439706988984656
stargan,0.5,0.49141763148308415
gaugan,0.4928,0.4583628340694007
crn,0.5,0.4728730853362697
imle,0.5,0.41423545391388106
seeingdark,0.5027777777777778,0.4427179473055045
san,0.4474885844748858,0.3818572491214758
deepfake,0.5008325624421832,0.40825650624794596
stylegan2,0.49417876815222833,0.5083637512925158
whichfaceisreal,0.5,0.534443443536793
